GM10847	GM12878	GM12891	GM12892	GM15510	GM18505	GM18951	GM19099	A549	HUVEC	IMR90	SGBS	Beas	AC16
0	0	0	0	0	0	4	0	16	64	18	30	0	0
0	0	0	0	0	0	0	0	28	0	27	25	0	0
0	0	5	0	0	0	0	3	25	0	4	41	22	5
0	14	0	4	0	0	0	0	0	25	21	8	25	0
0	0	0	0	0	0	0	4	14	0	20	34	6	0
0	0	0	0	0	0	0	0	32	3	21	22	0	7
0	10	4	0	5	0	0	5	17	15	0	15	14	5
0	9	0	0	0	6	5	4	0	0	0	31	0	0
0	13	6	0	0	0	0	14	6	0	11	26	0	0
0	10	0	0	0	0	0	6	56	0	9	16	0	0
0	14	6	0	0	0	0	11	33	9	19	14	8	0
0	12	6	0	0	5	0	0	8	6	20	55	0	0
0	10	8	3	3	0	0	11	33	0	4	33	8	0
0	0	0	4	0	0	4	0	0	0	6	10	0	4
0	8	0	0	0	0	0	0	0	0	28	17	2	0
0	20	0	5	0	4	0	4	12	5	0	72	21	13
5	24	15	0	0	0	5	10	16	0	6	35	0	0
4	8	16	0	0	0	0	9	6	34	15	28	0	0
0	6	0	0	0	0	0	0	16	0	4	13	0	0
0	0	0	0	0	0	0	0	0	0	8	25	0	0
0	0	5	0	4	0	0	0	13	0	18	18	7	0
0	14	0	0	0	0	0	0	0	12	0	12	0	0
0	0	9	0	0	0	0	0	29	6	12	14	0	0
0	7	6	0	0	0	0	0	9	7	5	0	0	0
0	34	8	0	4	0	0	0	10	4	9	9	20	0
0	25	0	5	0	0	0	4	16	0	5	22	0	0
0	0	6	0	0	0	0	0	0	0	26	21	0	0
0	5	0	0	0	5	3	0	0	0	9	20	10	0
0	13	0	0	0	0	0	0	0	19	26	26	13	0
0	0	0	0	0	0	0	5	19	7	51	52	0	0
4	0	16	0	0	0	0	6	0	6	10	50	0	3
0	5	4	0	0	0	0	0	0	10	10	6	8	0
0	0	5	0	0	0	0	0	28	0	0	43	0	5
0	21	8	0	0	0	0	3	0	3	13	36	0	0
0	11	0	0	0	0	0	0	0	5	16	51	9	0
0	30	0	0	0	0	0	4	6	5	8	48	11	0
0	4	5	5	0	0	0	4	0	0	8	7	0	0
0	12	6	0	0	0	0	0	10	3	11	10	0	0
0	0	0	0	0	0	0	0	0	3	0	41	0	6
0	11	0	0	0	0	0	0	7	4	10	35	0	4
0	7	15	3	0	0	0	0	0	0	5	28	0	12
0	14	0	0	0	0	0	12	0	5	12	6	0	0
0	0	0	0	0	0	0	3	0	13	5	9	0	0
0	19	4	0	0	0	0	6	22	0	5	29	0	0
0	14	4	0	0	0	0	9	13	0	0	22	5	0
0	5	0	0	0	0	5	0	74	56	19	54	0	0
0	9	0	4	0	0	0	0	7	0	34	56	0	0
0	0	5	0	5	0	4	13	7	15	26	28	6	0
0	5	0	0	6	0	0	0	0	0	11	60	16	0
0	10	4	0	0	0	0	0	0	0	14	9	0	0
11	19	10	0	0	0	6	0	0	0	33	36	6	4
0	24	24	0	0	0	0	0	36	5	23	0	0	0
0	0	4	0	0	6	0	0	8	14	0	16	0	0
0	0	4	0	4	0	0	0	10	26	24	6	8	6
0	8	10	0	0	4	0	4	0	0	7	31	0	0
0	13	0	0	0	0	0	12	21	0	17	29	9	5
0	7	11	0	0	0	0	0	17	0	0	0	7	0
0	8	4	0	0	0	0	0	9	14	0	34	0	5
0	4	6	0	0	5	0	0	25	10	20	56	33	0
0	16	5	0	0	0	0	4	20	0	4	34	0	0
0	33	0	0	0	0	8	0	47	0	22	18	0	0
0	0	0	0	0	0	4	4	0	0	4	42	16	0
0	18	0	0	4	0	5	0	0	0	0	11	0	0
0	21	9	0	0	0	13	0	18	0	11	20	0	0
0	8	4	0	0	0	0	6	9	0	0	28	5	0
0	11	0	0	0	0	0	13	0	15	6	31	6	3
0	0	0	0	0	0	0	0	0	0	16	21	0	0
5	32	6	5	4	0	0	0	12	9	0	23	8	0
0	6	0	0	0	4	0	7	14	3	22	9	5	0
6	0	0	0	0	0	8	0	0	4	18	8	0	0
0	26	0	0	0	0	11	10	0	0	23	15	0	0
0	17	5	0	0	0	0	6	0	0	0	9	0	0
0	4	0	0	0	0	0	0	0	0	0	24	2	0
0	4	0	0	0	0	0	0	0	4	0	23	0	0
0	0	0	0	0	5	0	0	19	7	25	72	44	0
0	0	10	9	3	0	0	0	19	0	40	32	7	0
0	4	0	0	0	0	0	0	36	0	10	39	14	0
0	14	0	0	0	0	0	0	0	0	9	23	0	0
0	11	0	0	0	0	4	19	0	6	23	52	0	4
0	21	3	0	0	0	0	4	0	9	9	67	0	0
5	0	0	5	0	0	0	5	8	5	0	41	0	0
0	6	0	0	0	0	0	4	11	0	32	23	7	0
0	5	10	0	4	0	0	0	36	6	43	32	5	0
0	10	0	5	5	0	4	0	11	7	17	23	0	0
0	6	6	0	0	0	5	4	16	0	11	57	0	0
5	8	17	0	0	0	5	5	44	7	19	38	0	0
0	22	0	0	4	0	5	0	23	0	16	39	14	0
0	0	8	0	0	0	0	4	0	8	28	25	0	5
0	33	4	0	5	0	0	0	0	10	18	18	6	0
0	0	0	0	0	0	0	6	0	8	41	39	12	3
0	6	0	8	0	0	0	0	0	0	5	49	19	0
0	0	0	0	0	0	0	0	7	0	27	26	0	0
0	0	0	0	0	0	0	19	0	8	30	28	0	0
0	13	6	0	0	0	3	15	39	17	8	28	0	0
0	24	13	4	0	0	0	0	18	4	24	35	22	0
5	11	0	7	0	0	0	0	12	0	14	29	15	0
0	21	6	0	0	0	0	0	1	0	8	31	0	0
0	8	0	6	0	0	5	7	9	0	0	17	8	6
0	35	14	0	0	0	0	10	0	3	0	45	0	0
0	0	0	0	0	7	0	0	0	0	32	27	6	0
0	14	8	0	0	0	0	9	21	28	23	57	18	0
0	9	0	3	0	0	9	0	44	14	12	38	6	0
0	5	4	0	0	0	0	0	29	8	22	67	9	0
0	0	0	0	0	0	4	0	0	17	0	23	0	0
5	5	0	5	0	0	0	4	42	16	18	56	6	0
0	0	10	0	0	0	7	13	7	45	5	10	0	0
0	0	0	4	11	0	3	0	0	0	8	21	35	4
